(robotpower) ➜  hw7_network_compression_tohw3 git:(master) ✗ python train_from_scratch.py ~/Downloads/food-11
Reading data
loading training 9866 32
loading validation 3430 32
StudentNet(
  (cnn): Sequential(
    (0): Sequential(
      (0): Conv2d(3, 16, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
      (1): BatchNorm2d(16, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (2): ReLU6()
      (3): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
    )
    (1): Sequential(
      (0): Conv2d(16, 16, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=2)
      (1): BatchNorm2d(16, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (2): ReLU6()
      (3): Conv2d(16, 32, kernel_size=(1, 1), stride=(1, 1))
      (4): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
    )
    (2): Sequential(
      (0): Conv2d(32, 32, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=2)
      (1): BatchNorm2d(32, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (2): ReLU6()
      (3): Conv2d(32, 64, kernel_size=(1, 1), stride=(1, 1))
      (4): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
    )
    (3): Sequential(
      (0): Conv2d(64, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=2)
      (1): BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (2): ReLU6()
      (3): Conv2d(64, 128, kernel_size=(1, 1), stride=(1, 1))
      (4): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
    )
    (4): Sequential(
      (0): Conv2d(128, 128, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=2)
      (1): BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (2): ReLU6()
      (3): Conv2d(128, 128, kernel_size=(1, 1), stride=(1, 1))
    )
    (5): Sequential(
      (0): Conv2d(128, 128, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=2)
      (1): BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (2): ReLU6()
      (3): Conv2d(128, 256, kernel_size=(1, 1), stride=(1, 1))
    )
    (6): AdaptiveAvgPool2d(output_size=(1, 1))
  )
  (fc): Sequential(
    (0): Linear(in_features=256, out_features=11, bias=True)
  )
)
epoch   0: train loss: 2.0233, acc 0.2856 valid loss: 1.9956, acc 0.3327
epoch   1: train loss: 1.8870, acc 0.3299 valid loss: 1.7867, acc 0.3636
epoch   2: train loss: 1.8400, acc 0.3557 valid loss: 1.7832, acc 0.3866
epoch   3: train loss: 1.8000, acc 0.3611 valid loss: 1.7425, acc 0.3985
epoch   4: train loss: 1.7681, acc 0.3812 valid loss: 1.8338, acc 0.3822
epoch   5: train loss: 1.7435, acc 0.3892 valid loss: 1.7152, acc 0.4131
epoch   6: train loss: 1.7193, acc 0.3995 valid loss: 1.6684, acc 0.4324
epoch   7: train loss: 1.6606, acc 0.4281 valid loss: 1.7309, acc 0.4120
epoch   8: train loss: 1.6190, acc 0.4418 valid loss: 1.8939, acc 0.3886
epoch   9: train loss: 1.5780, acc 0.4576 valid loss: 1.4420, acc 0.5052
epoch  10: train loss: 1.5375, acc 0.4728 valid loss: 1.6893, acc 0.4592
epoch  11: train loss: 1.5011, acc 0.4885 valid loss: 1.5334, acc 0.5032
epoch  12: train loss: 1.4569, acc 0.4973 valid loss: 1.6482, acc 0.4653
epoch  13: train loss: 1.4329, acc 0.5062 valid loss: 2.0097, acc 0.3980
epoch  14: train loss: 1.3924, acc 0.5222 valid loss: 1.5581, acc 0.4548
epoch  15: train loss: 1.3627, acc 0.5381 valid loss: 1.3735, acc 0.5499
epoch  16: train loss: 1.3424, acc 0.5431 valid loss: 1.5510, acc 0.5125
epoch  17: train loss: 1.3024, acc 0.5569 valid loss: 1.6722, acc 0.4318
epoch  18: train loss: 1.2965, acc 0.5655 valid loss: 1.3427, acc 0.5609
epoch  19: train loss: 1.2520, acc 0.5772 valid loss: 1.3107, acc 0.5688
epoch  20: train loss: 1.2645, acc 0.5724 valid loss: 1.3854, acc 0.5399
epoch  21: train loss: 1.2337, acc 0.5848 valid loss: 1.3245, acc 0.5758
epoch  22: train loss: 1.2190, acc 0.5873 valid loss: 1.5179, acc 0.5216
epoch  23: train loss: 1.2071, acc 0.5935 valid loss: 1.2750, acc 0.5924
epoch  24: train loss: 1.1936, acc 0.5925 valid loss: 1.3092, acc 0.5752
epoch  25: train loss: 1.1711, acc 0.6049 valid loss: 1.2617, acc 0.5781
epoch  26: train loss: 1.1532, acc 0.6163 valid loss: 1.2241, acc 0.6067
epoch  27: train loss: 1.1426, acc 0.6139 valid loss: 1.4224, acc 0.5633
epoch  28: train loss: 1.1306, acc 0.6196 valid loss: 1.1433, acc 0.6277
