(robotpower) ➜  hw7_network_compression_tohw3 git:(master) ✗ python knowledge_distillation.py ~/Downloads/food-11
Reading data
loading training 9866 32
loading validation 3430 32
StudentNet(
  (cnn): Sequential(
    (0): Sequential(
      (0): Conv2d(3, 16, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
      (1): BatchNorm2d(16, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (2): ReLU6()
      (3): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
    )
    (1): Sequential(
      (0): Conv2d(16, 16, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=16)
      (1): BatchNorm2d(16, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (2): ReLU6()
      (3): Conv2d(16, 32, kernel_size=(1, 1), stride=(1, 1))
      (4): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
    )
    (2): Sequential(
      (0): Conv2d(32, 32, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=32)
      (1): BatchNorm2d(32, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (2): ReLU6()
      (3): Conv2d(32, 64, kernel_size=(1, 1), stride=(1, 1))
      (4): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
    )
    (3): Sequential(
      (0): Conv2d(64, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=64)
      (1): BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (2): ReLU6()
      (3): Conv2d(64, 128, kernel_size=(1, 1), stride=(1, 1))
      (4): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
    )
    (4): Sequential(
      (0): Conv2d(128, 128, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=128)
      (1): BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (2): ReLU6()
      (3): Conv2d(128, 256, kernel_size=(1, 1), stride=(1, 1))
    )
    (5): Sequential(
      (0): Conv2d(256, 256, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=256)
      (1): BatchNorm2d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (2): ReLU6()
      (3): Conv2d(256, 256, kernel_size=(1, 1), stride=(1, 1))
    )
    (6): Sequential(
      (0): Conv2d(256, 256, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=256)
      (1): BatchNorm2d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (2): ReLU6()
      (3): Conv2d(256, 256, kernel_size=(1, 1), stride=(1, 1))
    )
    (7): Sequential(
      (0): Conv2d(256, 256, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=256)
      (1): BatchNorm2d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (2): ReLU6()
      (3): Conv2d(256, 256, kernel_size=(1, 1), stride=(1, 1))
    )
    (8): AdaptiveAvgPool2d(output_size=(1, 1))
  )
  (fc): Sequential(
    (0): Linear(in_features=256, out_features=11, bias=True)
  )
)
epoch   0: train loss: 8.8551, acc 0.2933 valid loss: 8.7977, acc 0.3531
epoch   1: train loss: 7.6923, acc 0.3930 valid loss: 7.9094, acc 0.4233
epoch   2: train loss: 7.1382, acc 0.4381 valid loss: 8.6456, acc 0.3691
epoch   3: train loss: 6.7211, acc 0.4691 valid loss: 6.9080, acc 0.4761
epoch   4: train loss: 6.3378, acc 0.5043 valid loss: 6.2409, acc 0.5429
epoch   5: train loss: 6.0296, acc 0.5233 valid loss: 6.4737, acc 0.5207
epoch   6: train loss: 5.7140, acc 0.5533 valid loss: 5.8591, acc 0.5595
epoch   7: train loss: 5.4253, acc 0.5674 valid loss: 5.2184, acc 0.6047
epoch   8: train loss: 5.1887, acc 0.5882 valid loss: 4.8276, acc 0.6332
epoch   9: train loss: 4.9821, acc 0.5991 valid loss: 5.0988, acc 0.6087
epoch  10: train loss: 4.8017, acc 0.6125 valid loss: 4.5154, acc 0.6563
epoch  11: train loss: 4.5895, acc 0.6255 valid loss: 4.2102, acc 0.6671
epoch  12: train loss: 4.4402, acc 0.6342 valid loss: 4.3385, acc 0.6408
epoch  13: train loss: 4.3847, acc 0.6450 valid loss: 4.1978, acc 0.6746
epoch  14: train loss: 4.2029, acc 0.6508 valid loss: 4.3811, acc 0.6595
epoch  15: train loss: 4.1540, acc 0.6570 valid loss: 4.1933, acc 0.6580
epoch  16: train loss: 4.0185, acc 0.6724 valid loss: 3.9135, acc 0.6822
epoch  17: train loss: 3.9451, acc 0.6714 valid loss: 4.2173, acc 0.6758
epoch  18: train loss: 3.8225, acc 0.6808 valid loss: 4.9126, acc 0.6341
epoch  19: train loss: 3.7936, acc 0.6799 valid loss: 3.8483, acc 0.6761
epoch  20: train loss: 3.7011, acc 0.6889 valid loss: 4.4914, acc 0.6376
epoch  21: train loss: 3.6199, acc 0.7003 valid loss: 3.7760, acc 0.6752
epoch  22: train loss: 3.5924, acc 0.6959 valid loss: 3.5477, acc 0.6983
epoch  23: train loss: 3.5226, acc 0.7093 valid loss: 3.4635, acc 0.7058
epoch  24: train loss: 3.4518, acc 0.7123 valid loss: 3.8782, acc 0.6927
epoch  25: train loss: 3.3916, acc 0.7097 valid loss: 3.8405, acc 0.6936
epoch  26: train loss: 3.3631, acc 0.7151 valid loss: 3.5048, acc 0.6907
epoch  27: train loss: 3.3209, acc 0.7213 valid loss: 3.3356, acc 0.7052
epoch  28: train loss: 3.2104, acc 0.7294 valid loss: 3.1108, acc 0.7286
epoch  29: train loss: 3.1996, acc 0.7316 valid loss: 3.4495, acc 0.7248
epoch  30: train loss: 3.1554, acc 0.7334 valid loss: 3.6165, acc 0.6997
epoch  31: train loss: 3.1093, acc 0.7386 valid loss: 3.3073, acc 0.7047
epoch  32: train loss: 3.0565, acc 0.7470 valid loss: 3.0517, acc 0.7303
epoch  33: train loss: 3.0559, acc 0.7396 valid loss: 3.1271, acc 0.7286
epoch  34: train loss: 3.0177, acc 0.7427 valid loss: 3.0968, acc 0.7292
epoch  35: train loss: 2.9319, acc 0.7511 valid loss: 3.2215, acc 0.7032
