(robotpower) ➜  hw7_network_compression_tohw3 git:(master) ✗ python knowledge_distillation.py ~/Downloads/food-11
Reading data
loading training 9866 32
loading validation 3430 32
StudentNet(
  (cnn): Sequential(
    (0): Sequential(
      (0): Conv2d(3, 16, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
      (1): BatchNorm2d(16, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (2): ReLU6()
      (3): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
    )
    (1): Sequential(
      (0): Conv2d(16, 16, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=16)
      (1): BatchNorm2d(16, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (2): ReLU6()
      (3): Conv2d(16, 32, kernel_size=(1, 1), stride=(1, 1))
      (4): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
    )
    (2): Sequential(
      (0): Conv2d(32, 32, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=32)
      (1): BatchNorm2d(32, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (2): ReLU6()
      (3): Conv2d(32, 64, kernel_size=(1, 1), stride=(1, 1))
      (4): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
    )
    (3): Sequential(
      (0): Conv2d(64, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=64)
      (1): BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (2): ReLU6()
      (3): Conv2d(64, 128, kernel_size=(1, 1), stride=(1, 1))
      (4): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
    )
    (4): Sequential(
      (0): Conv2d(128, 128, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=128)
      (1): BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (2): ReLU6()
      (3): Conv2d(128, 256, kernel_size=(1, 1), stride=(1, 1))
    )
    (5): Sequential(
      (0): Conv2d(256, 256, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=256)
      (1): BatchNorm2d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (2): ReLU6()
      (3): Conv2d(256, 256, kernel_size=(1, 1), stride=(1, 1))
    )
    (6): Sequential(
      (0): Conv2d(256, 256, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=256)
      (1): BatchNorm2d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (2): ReLU6()
      (3): Conv2d(256, 256, kernel_size=(1, 1), stride=(1, 1))
    )
    (7): Sequential(
      (0): Conv2d(256, 256, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=256)
      (1): BatchNorm2d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (2): ReLU6()
      (3): Conv2d(256, 256, kernel_size=(1, 1), stride=(1, 1))
    )
    (8): AdaptiveAvgPool2d(output_size=(1, 1))
  )
  (fc): Sequential(
    (0): Linear(in_features=256, out_features=11, bias=True)
  )
)
epoch   0: train loss: 8.7908, acc 0.2970 valid loss: 9.4572, acc 0.3131
epoch   1: train loss: 7.6845, acc 0.4083 valid loss: 7.6061, acc 0.4190
epoch   2: train loss: 7.1383, acc 0.4383 valid loss: 7.0916, acc 0.4697
epoch   3: train loss: 6.7757, acc 0.4781 valid loss: 7.0855, acc 0.4723
epoch   4: train loss: 6.3771, acc 0.4938 valid loss: 6.4360, acc 0.5318
epoch   5: train loss: 5.9845, acc 0.5259 valid loss: 5.8377, acc 0.5697
epoch   6: train loss: 5.7097, acc 0.5450 valid loss: 5.4638, acc 0.5781
epoch   7: train loss: 5.4451, acc 0.5607 valid loss: 5.0141, acc 0.6017
epoch   8: train loss: 5.1792, acc 0.5840 valid loss: 5.2923, acc 0.6105
epoch   9: train loss: 4.9041, acc 0.6061 valid loss: 5.7489, acc 0.5878
epoch  10: train loss: 4.8080, acc 0.6081 valid loss: 4.6107, acc 0.6125
epoch  11: train loss: 4.6010, acc 0.6332 valid loss: 4.6473, acc 0.6376
epoch  12: train loss: 4.4336, acc 0.6379 valid loss: 4.6894, acc 0.6437
epoch  13: train loss: 4.2729, acc 0.6470 valid loss: 4.4361, acc 0.6292
epoch  14: train loss: 4.2573, acc 0.6539 valid loss: 5.3729, acc 0.6236
epoch  15: train loss: 4.0727, acc 0.6651 valid loss: 3.8687, acc 0.6840
epoch  16: train loss: 3.9751, acc 0.6763 valid loss: 4.0349, acc 0.6528
epoch  17: train loss: 3.8799, acc 0.6718 valid loss: 4.0300, acc 0.6720
epoch  18: train loss: 3.8265, acc 0.6794 valid loss: 3.9053, acc 0.6790
epoch  19: train loss: 3.7063, acc 0.6898 valid loss: 4.5122, acc 0.6531
epoch  20: train loss: 3.6986, acc 0.6951 valid loss: 4.2166, acc 0.6633
epoch  21: train loss: 3.6467, acc 0.7016 valid loss: 4.3963, acc 0.6487
epoch  22: train loss: 3.5360, acc 0.7097 valid loss: 3.7159, acc 0.6936
epoch  23: train loss: 3.5075, acc 0.7021 valid loss: 3.2921, acc 0.7157
epoch  24: train loss: 3.4335, acc 0.7124 valid loss: 4.3047, acc 0.6697
epoch  25: train loss: 3.3864, acc 0.7202 valid loss: 3.8067, acc 0.6848
epoch  26: train loss: 3.3541, acc 0.7269 valid loss: 3.3955, acc 0.7175
epoch  27: train loss: 3.3013, acc 0.7229 valid loss: 3.3985, acc 0.7140
epoch  28: train loss: 3.1886, acc 0.7263 valid loss: 3.1993, acc 0.7283
epoch  29: train loss: 3.1620, acc 0.7360 valid loss: 3.7260, acc 0.7082
epoch  30: train loss: 3.1891, acc 0.7348 valid loss: 3.3898, acc 0.7102
epoch  31: train loss: 3.0920, acc 0.7421 valid loss: 3.3158, acc 0.7087
epoch  32: train loss: 3.1024, acc 0.7430 valid loss: 3.3686, acc 0.7020
epoch  33: train loss: 3.0453, acc 0.7505 valid loss: 3.2066, acc 0.7262
epoch  34: train loss: 2.9987, acc 0.7475 valid loss: 3.8574, acc 0.6860
epoch  35: train loss: 2.9717, acc 0.7478 valid loss: 3.1739, acc 0.7338
